Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RPI1_A3,-0.203556666,1.109897691,-2.7263637,14.205806,Resistant
RPI1_A4,-0.131909579,1.048747528,-2.200808,10.421614,Resistant
RPI1_A5,-0.180627935,0.994504328,-1.2736363,5.7885485,Resistant
RPI1_A6,-0.24521012,1.115945117,-3.4923232,16.025484,Resistant
RPI1_A7,-0.238544107,1.205736051,-2.2366667,13.07016,Resistant
RPI1_A8,-0.379575212,1.066753836,-2.099394,8.2875805,Resistant
RPI1_A9,-0.119398916,1.058046674,-1.3525252,5.8824196,Resistant
RPI1_A10,-0.233082236,1.030883337,-2.8764646,12.3598385,Resistant
RPI1_A11,-0.348931471,1.049403864,-3.100101,14.301935,Resistant
RPI1_A12,-0.336591456,1.099752033,-2.8055556,13.587258,Resistant
RPI1_A13,-0.205732253,1.098864663,-1.5038384,8.536774,Resistant
RPI1_A14,-0.211859844,1.138143526,-4.062828,22.630161,Resistant
RPI1_A15,-0.209891525,1.156596215,-2.1733332,11.877096,Resistant
RPI1_A16,-0.311099422,1.091974394,-4.367576,22.886776,Resistant
RPI1_A18,-0.258218281,1.114655636,-2.669091,14.680485,Resistant
RPI1_A19,-0.148234262,1.024588523,-1.2526263,5.3403225,Resistant
RPI1_A20,-0.130753577,1.163353974,-2.0361614,14.019032,Resistant
RPI1_A21,-0.223226599,1.010857293,-1.6887879,9.046936,Resistant
RPI1_A22,0.070267359,0.64720028,0.06232323,0.16758065,Resistant
RPI1_B1,-0.184477162,1.122110078,-1.9795959,11.070968,Resistant
RPI1_B2,-0.280637671,1.158121757,-2.4627273,11.893226,Resistant
RPI1_B3,-0.118221029,0.882605481,-2.2810102,9.511129,Resistant
RPI1_B4,-0.230516317,1.081955467,-1.8723232,8.941612,Resistant
RPI1_B5,-0.361547822,1.116668505,-1.8693941,10.8901615,Resistant
RPI1_B7,-0.265067967,1.179986516,-2.188283,12.050644,Resistant
RPI1_B8,-0.323567427,1.019660911,-2.67101,11.645645,Resistant
RPI1_B9,0.121002776,0.374624181,-0.032828283,0.1116129,Resistant
RPI1_B10,-0.238530335,1.066869522,-2.642424,12.975323,Resistant
RPI1_B11,-0.158490421,1.04495926,-2.1445456,10.888226,Resistant
RPI1_B12,-0.285729522,0.967967599,-4.070505,17.339031,Resistant
RPI1_B13,-0.176555226,1.02410148,-1.8076768,9.290162,Resistant
RPI1_B14,-0.248529086,1.02420328,-2.660303,11.855,Resistant
RPI1_B16,-0.13366868,1.03513626,-2.2140403,13.060805,Resistant
RPI1_B17,-0.207346648,1.056200959,-1.6085858,7.76,Resistant
RPI1_B18,0.010163461,0.521882208,-0.19989899,0.78161293,Resistant
RPI1_B19,-0.100525227,1.258475951,-1.1546464,7.187742,Resistant
RPI1_B20,-0.268059591,1.02272895,-1.8514142,7.92371,Resistant
RPI1_B21,-0.304018252,1.22659097,-1.8556566,8.788064,Resistant
RPI1_B22,-0.311537581,1.182830582,-2.1363637,10.968548,Resistant
RPI1_B23,-0.053881946,0.084056281,-0.027777778,0.063709676,Resistant
RPI1_B24,-0.136190313,1.07135272,-1.320101,8.636774,Resistant
RPI1_C1,0.286928271,0.645955544,0.16767675,1.8103225,Sensitive
RPI1_C2,-0.30599436,1.097371074,-1.7285858,8.5,Resistant
RPI1_C3,-0.154511894,0.833430055,-2.138788,8.90984,Resistant
RPI1_C4,-0.139026101,0.986144681,-1.6383839,10.055484,Resistant
RPI1_C5,-0.285472617,1.171046643,-2.6945455,15.458872,Resistant
RPI1_C6,-0.143780385,0.835137825,-1.8821213,8.146774,Resistant
RPI1_C8,-0.238082009,1.041121826,-2.3676767,10.665323,Resistant
RPI1_C9,-0.034554149,0.445772883,-0.01787879,0.18354839,Resistant
RPI1_C10,-0.302582165,1.00871758,-1.3267677,7.759678,Resistant
RPI1_C11,-0.018449103,1.084190884,-1.8572727,11.015968,Resistant
RPI1_C12,-0.096632477,1.115249209,-1.7378788,10.047742,Resistant
RPI1_C13,-0.261431365,0.992329653,-2.6578789,10.107258,Resistant
RPI1_C14,-0.248033414,0.975120246,-2.4969697,11.721935,Resistant
RPI1_C15,-0.199400419,1.060901938,-3.3101008,16.455967,Resistant
RPI1_C16,-0.232786224,1.012160985,-1.62,7.349516,Resistant
RPI1_C17,-0.172826998,0.912326862,-2.0363636,10.409355,Resistant
RPI1_C18,-0.295122061,1.131638204,-1.8354545,9.537096,Resistant
RPI1_C19,-0.195711755,1.046258265,-1.540606,8.851935,Resistant
RPI1_C20,-0.022801562,0.259604359,-0.032828283,0.031451613,Resistant
RPI1_C21,-0.272711039,1.001482171,-2.1339395,11.409516,Resistant
RPI1_C22,-0.111652109,0.950769968,-2.3381817,10.08371,Resistant
