Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RHH2177,3.725890105,0.317866834,3287.3066,34.298843,Sensitive
RHH2178,3.285184298,0.765766303,1823.2076,54.564102,Sensitive
RHH2179,3.573561367,0.226616673,2730.2078,62.76358,Sensitive
RHH2180,3.56000888,0.459163694,2420.1353,80.821785,Sensitive
RHH2181,3.321929062,0.84067861,1514.2883,53.1317,Sensitive
RHH2182,3.983978361,0.938754597,3040.7798,240.10837,Sensitive
RHH2184,3.897910902,0.56564253,2466.2068,93.54401,Sensitive
RHH2185,2.974579608,1.183388229,1709.8511,110.839935,Sensitive
RHH2186,3.386729104,0.818535415,1464.0065,153.97249,Sensitive
RHH2187,3.516201678,0.613354377,1723.5616,117.611046,Sensitive
RHH2188,3.477816942,0.185863603,1893.6118,108.03144,Sensitive
RHH2189,3.946405139,0.878831643,1984.2391,121.3855,Sensitive
RHH2190,3.549804254,0.481773216,1766.4731,93.36138,Sensitive
RHH2191,3.94319939,0.82559146,2448.2476,67.40984,Sensitive
RHH2192,2.955913116,0.501878079,1835.8479,105.14966,Sensitive
RHH2193,3.509213987,0.338033427,2261.62,101.59445,Sensitive
RHH2194,3.202210481,0.65526463,1970.8629,110.086624,Sensitive
RHH2195,3.523888542,0.793720037,1635.2079,118.30575,Sensitive
RHH2196,4.359800965,1.048904684,1922.808,304.1632,Sensitive
RHH2197,3.64653718,1.025520891,1838.0515,183.94604,Sensitive
RHH2198,3.224360593,0.711745212,1872.845,113.94068,Sensitive
RHH2199,3.473056116,0.282415454,2199.8772,82.42841,Sensitive
RHH2200,3.555238346,0.980034169,1744.9316,102.31069,Sensitive
RHH2201,2.535843742,-1.61363848,268.70398,-94.576355,Sensitive
RHH2202,3.524618006,1.218719831,1505.0902,193.64522,Sensitive
RHH2203,3.570487075,0.735264424,1749.5579,103.81358,Sensitive
RHH2204,2.649938496,0.539144029,1496.5323,108.37078,Sensitive
RHH2205,3.305280677,0.72181431,1670.7385,99.014366,Sensitive
RHH2206,3.640748324,0.570884019,1518.992,122.833496,Sensitive
RHH2207,3.550423854,0.107945545,2000.9326,42.902092,Sensitive
RHH2208,3.462984405,1.045881522,2093.091,82.46785,Sensitive
RHH2209,3.37629896,1.380210164,1773.4946,233.05775,Sensitive
RHH2210,4.092200579,1.614008691,1931.4119,155.03322,Sensitive
RHH2211,2.912813605,1.047230083,1526.7981,164.29382,Sensitive
RHH2212,3.823139377,1.133660302,1861.4128,161.5191,Sensitive
RHH2213,3.678876021,0.440261484,1793.177,129.10962,Sensitive
RHH2214,2.674141053,0.675467484,1647.8326,98.51621,Sensitive
RHH2215,3.680726452,0.720940466,2190.8125,133.94669,Sensitive
RHH2216,3.705383166,0.694778318,1704.241,81.109184,Sensitive
RHH2217,2.909328815,1.184071383,1486.2134,158.52316,Sensitive
RHH2218,4.101401654,1.011395361,1909.6566,230.96057,Sensitive
RHH2219,3.463949123,0.459799625,1614.0669,114.913216,Sensitive
RHH2220,3.351108294,0.595775533,2694.3137,186.04431,Sensitive
RHH2221,3.313738488,0.750987841,1581.6365,159.55841,Sensitive
RHH2222,3.833643123,0.874799432,1639.3999,182.46951,Sensitive
RHH2223,3.273887429,0.365447579,1675.1227,170.31393,Sensitive
RHH2224,3.522558115,0.868067247,1190.6086,133.50662,Sensitive
RHH2225,3.081703263,1.06165116,1425.1803,95.05432,Sensitive
RHH2226,2.827162537,1.771279564,985.11304,312.89468,Sensitive
RHH2227,3.275645465,0.712604925,1569.7689,127.45327,Sensitive
RHH2228,3.710656439,0.827833779,1983.999,84.37462,Sensitive
RHH2229,3.661542924,0.989200335,1773.761,216.88373,Sensitive
RHH2230,3.250253807,1.0312817,1543.9473,131.39447,Sensitive
RHH2231,3.297082604,0.554187515,1190.3136,86.18943,Sensitive
RHH2232,3.617897602,0.923685419,1858.9199,88.13947,Sensitive
RHH2233,3.836493572,1.363316909,1270.8953,109.03093,Sensitive
RHH2234,3.200016289,1.436464519,1310.3086,152.20602,Sensitive
RHH2235,3.591481056,1.045151579,1700.7349,193.34528,Sensitive
RHH2236,3.126381874,0.632826085,1938.7422,156.74554,Sensitive
RHH2237,3.337963751,0.687727463,1552.4609,137.16638,Sensitive
RHH2238,3.181498591,0.759316817,2358.4287,132.7016,Sensitive
RHH2239,3.519230209,0.678520317,1902.2349,80.21995,Sensitive
RHH2240,3.551578784,0.775328283,1883.6122,88.06072,Sensitive
RHH2241,3.286103003,1.322264049,1955.1223,233.99521,Sensitive
RHH2242,3.062752211,0.96986366,1235.7959,142.70107,Sensitive
RHH2243,3.817771529,1.372592073,1431.2734,254.18929,Sensitive
RHH2244,3.692207211,0.87935252,1596.434,200.49179,Sensitive
RHH2245,3.429947992,1.496228598,1980.167,360.00122,Sensitive
RHH2246,3.181154313,0.55403448,1277.8529,247.82047,Resistant
RHH2247,3.355558118,0.280343276,1878.1484,46.317993,Sensitive
RHH2248,3.755960908,0.838197328,1783.419,154.52393,Sensitive
RHH2249,3.655805648,1.055663132,1863.8706,130.2088,Sensitive
RHH2250,3.650051252,0.854122292,1391.6105,150.53441,Sensitive
RHH2251,3.737249539,0.717229209,1611.5726,131.23827,Sensitive
RHH2252,3.522100929,0.70657777,1686.9485,129.49619,Sensitive
RHH2253,3.400067275,0.648743597,1529.6976,76.09318,Sensitive
RHH2254,3.469030819,0.035212566,1814.264,31.84816,Sensitive
